министерство финансов Амурской области;;;;;;;;;;;;;;;;;;;;;
(наименование органа, исполняющего бюджет);;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;
 на 01.04.2026 г.;;;;;;;;;;;;;;;;;;;;;
Дата печати 10.04.2026 (10:03:18);;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;
Бюджет: Консолидированный;;;;;;;;;;;;;;;;;;;;;
КЦСР: *****975**,*****6105*,*****970**;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;
руб.;;;;;;;;;;;;;;;;;;;;;
Бюджет;Дата проводки;КФСР;Наименование КФСР;КЦСР;Наименование КЦСР;КВР;Наименование КВР;КОСГУ;Наименование КОСГУ;КВСР;Наименование КВСР;Код цели;Наименование Код цели;КВФО;Наименование КВФО;Источник средств;Лимиты ПБС 2026 год;Подтв. лимитов по БО 2026 год;Подтв. лимитов без БО 2026 год;Остаток лимитов 2026 год;Всего выбытий (бух.уч.)
Бюджет г. Тынды;25.02.2026;04.09;Дорожное хозяйство (дорожные фонды);02.2.01.97003;Реализация мероприятий в транспортной сфере, одобренных Президиумом (штабом) Правительственной комиссии по региональному развитию в Российской Федерации;6.1.2;Субсидии бюджетным учреждениям на иные цели;2.4.1;Безвозмездные перечисления (передачи) текущего характера сектора государственного управления;222;Администрация города Тынды;972310002013;Иные межбюджетные транcферты на софинансирование расходных обязательств  муниципальных образований Амурской области, возникающих при реализация мероприятий в транспортной сфере, одобренных Президиумом (штабом) Правительственной комиссии по региональному развитию в Российской Федерации (Приведение в нормативное состояние УДС города Тында и строительство 2 искусственных дорожных сооружений);1;Деятельность, осуществляемая за счет средств соответствующего бюджета бюджетной системы Российской Федерации (бюджетная деятельность);Региональные средства;191 505 376,21;0,00;0,00;383 010 752,42;0,00
Бюджет г. Тынды;12.03.2026;04.09;Дорожное хозяйство (дорожные фонды);02.2.01.97003;Реализация мероприятий в транспортной сфере, одобренных Президиумом (штабом) Правительственной комиссии по региональному развитию в Российской Федерации;6.1.2;Субсидии бюджетным учреждениям на иные цели;2.4.1;Безвозмездные перечисления (передачи) текущего характера сектора государственного управления;222;Администрация города Тынды;972310002013;Иные межбюджетные транcферты на софинансирование расходных обязательств  муниципальных образований Амурской области, возникающих при реализация мероприятий в транспортной сфере, одобренных Президиумом (штабом) Правительственной комиссии по региональному развитию в Российской Федерации (Приведение в нормативное состояние УДС города Тында и строительство 2 искусственных дорожных сооружений);1;Деятельность, осуществляемая за счет средств соответствующего бюджета бюджетной системы Российской Федерации (бюджетная деятельность);Региональные средства;0,00;191 505 376,21;0,00;-191 505 376,21;0,00
Бюджет города Белогорск;04.02.2026;04.08;Транспорт;11.1.02.61051;Реализация мер, финансирование которых осуществляется за счет высвобождаемых средств в результате списания задолженности по бюджетным кредитам (обновление подвижного состава общественного транспорта общего пользования);2.4.4;Прочая закупка товаров, работ и услуг;0.0.0;НЕ УКАЗАНО;007;"Муниципальное казенное учреждение ""Управление жилищно-коммунального хозяйства Администрации города Белогорск""";ОБ-138;Иные межбюджетные трансферты на обновление подвижного состава общественного транспорта общего пользования за счет высвобождаемых средств в результате списания задолженности по бюджетным кредитам;1;Деятельность, осуществляемая за счет средств соответствующего бюджета бюджетной системы Российской Федерации (бюджетная деятельность);Региональные средства;80 000 000,00;0,00;0,00;160 000 000,00;0,00
Бюджет города Белогорск;20.02.2026;05.02;Коммунальное хозяйство;10.1.01.61059;"Реализация мер, финансирование которых осуществляется за счет высвобождаемых средств в результате списания задолженности по бюджетным кредитам (Строительство водозабора ""Южный"")";4.1.4;Бюджетные инвестиции в объекты капитального строительства государственной (муниципальной) собственности;0.0.0;НЕ УКАЗАНО;007;"Муниципальное казенное учреждение ""Управление жилищно-коммунального хозяйства Администрации города Белогорск""";ОБ-136-8;Иные межбюджетные трансферты на реализацию инфраструктурных проектов в сфере жилищно-коммунального хозяйства (включая проекты, направленные на замену лифтового оборудования в многоквартирных домах) и мероприятий мастер-планов городов Амурской области (в части мероприятий по развитию коммунальной инфраструктуры) за счет высвобождаемых средств в результате списания задолженности по бюджетным кредитам (Строительство станции второго подъема в микрорайоне Южный, модернизация станции водоотведения);1;Деятельность, осуществляемая за счет средств соответствующего бюджета бюджетной системы Российской Федерации (бюджетная деятельность);Региональные средства;78 400 000,00;0,00;0,00;156 800 000,00;0,00
Бюджет города Благовещенска;01.01.2026;04.08;Транспорт;02.2.02.61051;Реализация мер, финансирование которых осуществляется за счет высвобождаемых средств в результате списания задолженности по бюджетным кредитам (закупка автобусов);2.4.4;Прочая закупка товаров, работ и услуг;0.0.0;НЕ УКАЗАНО;002;Администрация города Благовещенска;ОБ-138;Иные межбюджетные трансферты на обновление подвижного состава общественного транспорта общего пользования за счет высвобождаемых средств в результате списания задолженности по бюджетным кредитам;1;Деятельность, осуществляемая за счет средств соответствующего бюджета бюджетной системы Российской Федерации (бюджетная деятельность);Региональные средства;289 777 900,00;0,00;0,00;579 555 800,00;0,00
Бюджет города Благовещенска;01.01.2026;05.02;Коммунальное хозяйство;03.2.01.61055;Реализация мер, финансирование которых осуществляется за счет высвобождаемых средств в результате списания задолженности по бюджетным кредитам (Строительство сливной станции с. Садовое);4.1.4;Бюджетные инвестиции в объекты капитального строительства государственной (муниципальной) собственности;0.0.0;НЕ УКАЗАНО;002;Администрация города Благовещенска;ОБ-136-2;Иные межбюджетных трансферты  на реализацию инфраструктурных проектов в сфере жилищно-коммунального хозяйства (включая проекты, направленные на замену лифтового оборудования в многоквартирных домах) и мероприятий мастер-планов городов Амурской области (в части мероприятий по развитию коммунальной инфраструктуры) за счет высвобождаемых средств в результате списания задолженности по бюджетным кредитам (Строительство сливной станции с. Садовое);1;Деятельность, осуществляемая за счет средств соответствующего бюджета бюджетной системы Российской Федерации (бюджетная деятельность);Региональные средства;571 400 000,00;0,00;0,00;1 142 800 000,00;0,00
Бюджет города Благовещенска;01.01.2026;05.02;Коммунальное хозяйство;03.2.01.61056;"Реализация мер, финансирование которых осуществляется за счет высвобождаемых средств в результате списания задолженности по бюджетным кредитам (Строительство газовой котельной мощностью 65 Гкал/ч в 252 квартале г. Благовещенска (""Лазурный берег"")";8.9.1;Субсидии юридическим лицам, индивидуальным предпринимателям, являющимся стороной концессионных соглашений, на финансирование капитального гранта, платы концедента;0.0.0;НЕ УКАЗАНО;005;Управление жилищно-коммунального хозяйства администрации города Благовещенска;ОБ-136-6;"Иные межбюджетные трансферты  на реализацию инфраструктурных проектов в сфере жилищно-коммунального хозяйства (включая проекты, направленные на замену лифтового оборудования в многоквартирных домах) и мероприятий мастер-планов городов Амурской области (в части мероприятий по развитию коммунальной инфраструктуры) за счет высвобождаемых средств в результате списания задолженности по бюджетным кредитам (Строительство газовой котельной мощностью 65 Гкал/ч в 252 квартале г. Благовещенска (""Лазурный берег""))";1;Деятельность, осуществляемая за счет средств соответствующего бюджета бюджетной системы Российской Федерации (бюджетная деятельность);Региональные средства;230 000 000,00;0,00;0,00;460 000 000,00;0,00
Бюджет города Благовещенска;01.01.2026;05.02;Коммунальное хозяйство;03.2.01.61057;"Реализация мер, финансирование которых осуществляется за счет высвобождаемых средств в результате списания задолженности по бюджетным кредитам (Строительство газовой котельной мощностью 25 Гкал/ч в 607 квартале г. Благовещенска (""Серебрянная миля"")";8.9.1;Субсидии юридическим лицам, индивидуальным предпринимателям, являющимся стороной концессионных соглашений, на финансирование капитального гранта, платы концедента;0.0.0;НЕ УКАЗАНО;005;Управление жилищно-коммунального хозяйства администрации города Благовещенска;ОБ-136-7;"Иные межбюджетных трансферты  на реализацию инфраструктурных проектов в сфере жилищно-коммунального хозяйства (включая проекты, направленные на замену лифтового оборудования в многоквартирных домах) и мероприятий мастер-планов городов Амурской области (в части мероприятий по развитию коммунальной инфраструктуры) за счет высвобождаемых средств в результате списания задолженности по бюджетным кредитам (Строительство газовой котельной мощностью 25 Гкал/ч в 607 квартале г. Благовещенска (""Серебряная миля"")";1;Деятельность, осуществляемая за счет средств соответствующего бюджета бюджетной системы Российской Федерации (бюджетная деятельность);Региональные средства;234 450 000,00;0,00;0,00;468 900 000,00;0,00
Бюджет города Благовещенска;01.01.2026;05.02;Коммунальное хозяйство;03.2.01.6105Ж;Реализация мер, финансирование которых осуществляется за счет высвобождаемых средств в результате списания задолженности по бюджетным кредитам (Строительство газовой котельной в 101 квартале г. Благовещенска);8.9.1;Субсидии юридическим лицам, индивидуальным предпринимателям, являющимся стороной концессионных соглашений, на финансирование капитального гранта, платы концедента;0.0.0;НЕ УКАЗАНО;005;Управление жилищно-коммунального хозяйства администрации города Благовещенска;ОБ-136-10;Иные межбюджетные трансферты  на реализацию инфраструктурных проектов в сфере жилищно-коммунального хозяйства (включая проекты, направленные на замену лифтового оборудования в многоквартирных домах) и мероприятий мастер-планов городов Амурской области (в части мероприятий по развитию коммунальной инфраструктуры) за счет высвобождаемых средств в результате списания задолженности по бюджетным кредитам (Строительство газовой котельной в 101 квартале г. Благовещенска);1;Деятельность, осуществляемая за счет средств соответствующего бюджета бюджетной системы Российской Федерации (бюджетная деятельность);Региональные средства;234 450 000,00;0,00;0,00;468 900 000,00;0,00
Бюджет города Благовещенска;01.01.2026;08.01;Культура;05.2.03.97501;Реализация инфраструктурных проектов (мероприятий) в сфере культуры, одобренных президиумом (штабом) Правительственной комиссии по региональному развитию в Российской Федерации;8.9.1;Субсидии юридическим лицам, индивидуальным предпринимателям, являющимся стороной концессионных соглашений, на финансирование капитального гранта, платы концедента;0.0.0;НЕ УКАЗАНО;008;управление культуры администрации города Благовещенска;9725100011050205;Иные межбюджетные транcферты бюджетам муниципальных образований Амурской области на софинансирование расходных обязательств муниципальных образований Амурской области, возникающих при реализации инфраструктурных проектов (мероприятий) в сфере культуры, одобренных президиумом (штабом) Правительственной комиссии по региональному развитию в Российской Федерации (Проектирование и реконструкция городского парка);1;Деятельность, осуществляемая за счет средств соответствующего бюджета бюджетной системы Российской Федерации (бюджетная деятельность);Федеральные средства;937 649 500,00;0,00;0,00;1 875 299 000,00;0,00
